                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      0,                 3.0307,                 16.434,                0.95498,                0.00192,                0.19718,                0.00091,                0.00026,                 2.3734,                    inf,                0.64608,                0.00042,                0.00042,                0.00042
                      1,                 3.2533,                 3.1547,                0.93472,                0.00192,                0.19718,                0.00091,                0.00026,                    nan,                    nan,                    nan,             0.00085149,             0.00085149,             0.00085149
                      2,                 3.2839,                  1.843,                0.96939,                0.00192,                0.19718,                0.00091,                0.00026,                    nan,                    nan,                    nan,              0.0012743,              0.0012743,              0.0012743
                      3,                 3.2023,                 1.8133,                0.95296,                0.00192,                0.19718,                0.00091,                0.00026,                    nan,                    nan,                    nan,              0.0016883,              0.0016883,              0.0016883
                      4,                 3.2197,                 1.8259,                0.96822,                0.00192,                0.19718,                0.00091,                0.00026,                      0,                    nan,                      0,              0.0019208,              0.0019208,              0.0019208
                      5,                 3.0974,                 1.6539,                0.94224,                0.11652,                0.01408,                0.00602,                 0.0012,                 2.7114,                 2.7436,                0.69351,              0.0019208,              0.0019208,              0.0019208
                      6,                 3.0778,                 1.7363,                0.93767,                0.11652,                0.01408,                0.00602,                 0.0012,                      0,                    inf,                      0,               0.001901,               0.001901,               0.001901
                      7,                 3.1137,                 1.6957,                0.93665,                 0.0007,                0.01408,                0.00036,                  4e-05,                  2.105,                 101.05,                0.45416,              0.0018812,              0.0018812,              0.0018812
                      8,                 3.0623,                 1.5052,                0.93082,                0.15152,                0.21127,                0.11962,                0.03691,                 2.0495,                 1.8411,                0.48957,              0.0018614,              0.0018614,              0.0018614
                      9,                 3.1555,                 1.6647,                0.95717,                      1,                0.04225,                0.52112,                0.22655,                 1.8208,                 2.0511,                0.48444,              0.0018416,              0.0018416,              0.0018416
                     10,                 3.0105,                 1.5598,                0.92307,                0.51099,                0.28169,                0.24907,                0.05698,                 2.6993,                 1.7609,                0.66488,              0.0018218,              0.0018218,              0.0018218
                     11,                 3.0067,                 1.5143,                0.93061,                0.59158,                0.33803,                0.39255,                0.12315,                 2.2882,                 1.1573,                0.61557,               0.001802,               0.001802,               0.001802
                     12,                 2.8595,                 1.4105,                0.89404,                0.41756,                0.46479,                0.39927,                0.13378,                 2.1497,                 2.4857,                0.64793,              0.0017822,              0.0017822,              0.0017822
                     13,                 2.6668,                 1.3593,                0.89016,                  0.075,                0.25352,                0.07398,                0.01552,                 2.7461,                 1.8495,                0.61713,              0.0017624,              0.0017624,              0.0017624
                     14,                  2.845,                 1.5265,                0.91094,                  0.075,                0.25352,                0.07398,                0.01552,                 1.4929,                 1.6325,                0.32796,              0.0017426,              0.0017426,              0.0017426
                     15,                 2.8956,                 1.4325,                0.89197,                0.66722,                0.29577,                0.35979,                0.11148,                   2.32,                 1.7382,                0.63188,              0.0017228,              0.0017228,              0.0017228
                     16,                 2.7111,                 1.4257,                0.89403,                0.37521,                0.21127,                0.27895,                0.08854,                 2.2897,                 2.3681,                0.69314,               0.001703,               0.001703,               0.001703
                     17,                  2.843,                 1.3562,                0.90013,                0.54478,                0.38775,                0.42886,                0.12609,                 2.2496,                 1.1231,                 0.6245,              0.0016832,              0.0016832,              0.0016832
                     18,                 2.8578,                 1.3667,                0.90134,                0.57506,                0.49296,                0.50795,                0.19138,                 1.9456,                 1.1684,                0.69069,              0.0016634,              0.0016634,              0.0016634
                     19,                  2.665,                 1.3509,                0.88365,                0.28302,                0.42254,                 0.3297,                0.06953,                 2.7418,                 1.7327,                0.65558,              0.0016436,              0.0016436,              0.0016436
                     20,                 2.5793,                 1.2747,                 0.8967,                0.64821,                0.49296,                0.57953,                0.19485,                 1.8919,                 1.0936,                0.70274,              0.0016238,              0.0016238,              0.0016238
                     21,                 2.5515,                 1.2783,                0.87312,                0.60315,                0.34258,                0.39758,                0.14957,                 2.1029,                 1.2737,                0.66622,               0.001604,               0.001604,               0.001604
                     22,                 2.6315,                 1.2592,                0.89101,                0.68518,                 0.2147,                0.28523,                0.09018,                 2.2705,                 1.9041,                0.65716,              0.0015842,              0.0015842,              0.0015842
                     23,                 2.6546,                 1.2528,                0.87399,                0.64045,                0.29577,                0.33208,                0.12391,                 2.1129,                 2.8368,                0.63092,              0.0015644,              0.0015644,              0.0015644
                     24,                 2.6365,                 1.2629,                0.87256,                 0.7194,                0.33803,                 0.4242,                0.11955,                 2.3119,                 1.3935,                0.65113,              0.0015446,              0.0015446,              0.0015446
                     25,                 2.5293,                  1.192,                0.88074,                0.62497,                0.47887,                 0.4774,                0.18745,                 2.0854,                 1.1409,                0.65126,              0.0015248,              0.0015248,              0.0015248
                     26,                  2.607,                 1.2429,                0.88625,                0.69749,                0.48718,                0.53169,                0.18546,                  2.066,                0.82335,                0.65302,               0.001505,               0.001505,               0.001505
                     27,                 2.5495,                 1.2521,                0.88167,                0.66277,                0.42254,                0.48631,                 0.1325,                 2.3316,                0.99892,                0.63793,              0.0014852,              0.0014852,              0.0014852
                     28,                 2.6152,                 1.2275,                0.89031,                0.44013,                0.40845,                0.40096,                0.11866,                 2.2004,                 1.4619,                0.65281,              0.0014654,              0.0014654,              0.0014654
                     29,                 2.4823,                 1.2153,                 0.8772,                0.65624,                0.37649,                 0.4377,                0.13835,                 2.1532,                  1.375,                0.64417,              0.0014456,              0.0014456,              0.0014456
                     30,                 2.4796,                 1.1442,                0.86146,                0.78721,                0.60563,                0.65297,                0.20291,                 2.0052,                0.87555,                0.64228,              0.0014258,              0.0014258,              0.0014258
                     31,                 2.5677,                 1.1363,                0.87033,                0.50167,                0.19718,                 0.2779,                0.08053,                 2.3309,                 1.3442,                0.64764,               0.001406,               0.001406,               0.001406
                     32,                 2.4971,                 1.1548,                0.86962,                0.68535,                0.32394,                0.48343,                0.16717,                 2.1778,                 1.4939,                0.66246,              0.0013862,              0.0013862,              0.0013862
                     33,                 2.5453,                 1.1306,                0.86722,                0.55342,                 0.5493,                0.54793,                0.18792,                 1.9851,                 0.9868,                0.68311,              0.0013664,              0.0013664,              0.0013664
                     34,                 2.5739,                 1.1636,                0.87257,                 0.6897,                0.33803,                0.41493,                0.15039,                 1.9692,                 1.2734,                0.69068,              0.0013466,              0.0013466,              0.0013466
                     35,                 2.4789,                 1.1271,                 0.8753,                0.26429,                0.52113,                0.40527,                 0.1132,                 2.4685,                 1.5449,                0.63451,              0.0013268,              0.0013268,              0.0013268
                     36,                 2.5473,                 1.1715,                0.86553,                0.56943,                0.46569,                0.47509,                0.16107,                 2.2973,                 1.2831,                0.62473,               0.001307,               0.001307,               0.001307
                     37,                 2.4456,                 1.1902,                0.87198,                0.48228,                0.33803,                0.37026,                0.11838,                 2.1453,                0.96062,                0.55528,              0.0012872,              0.0012872,              0.0012872
                     38,                 2.4066,                 1.1507,                 0.8716,                0.54095,                0.50704,                0.45714,                0.14244,                 2.2373,                0.90391,                0.61464,              0.0012674,              0.0012674,              0.0012674
                     39,                 2.4848,                 1.1528,                0.87252,                0.59183,                0.24517,                0.28364,                0.08008,                 2.1778,                  1.079,                0.54299,              0.0012476,              0.0012476,              0.0012476
