                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      0,                 3.6255,                 22.919,                 1.1471,                0.00066,                0.16901,                0.00039,                0.00014,                 2.4107,                 15.781,                0.57595,                0.00042,                0.00042,                0.00042
                      1,                 3.3163,                 8.2502,                0.94238,                 0.0001,                0.02817,                  5e-05,                  2e-05,                 2.4165,                 12.007,                0.62942,             0.00085149,             0.00085149,             0.00085149
                      2,                 3.2091,                 6.2348,                0.95701,                   0.02,                0.32394,                0.02353,                0.00674,                 2.3184,                 11.007,                0.62506,              0.0012743,              0.0012743,              0.0012743
                      3,                 3.1408,                 5.2083,                0.96351,                0.23186,                0.08451,                0.04082,                0.00709,                  2.936,                 4.0575,                0.73617,              0.0016883,              0.0016883,              0.0016883
                      4,                 2.9737,                 3.8903,                0.91315,                0.50775,                0.30516,                0.30896,                0.07191,                 2.2881,                 3.7122,                0.67878,              0.0019208,              0.0019208,              0.0019208
                      5,                 2.8447,                 3.0141,                0.91718,                0.56357,                0.43662,                0.33947,                0.07282,                 2.2415,                 2.3471,                0.68818,              0.0019208,              0.0019208,              0.0019208
                      6,                 3.0382,                 2.7716,                0.93199,                0.66379,                0.28169,                0.28637,                0.06341,                 2.5684,                 1.6877,                0.66638,               0.001901,               0.001901,               0.001901
                      7,                 3.0539,                 2.5716,                0.91672,                0.00242,                0.15493,                 0.0305,                0.00873,                 2.5132,                 2.6367,                0.64502,              0.0018812,              0.0018812,              0.0018812
                      8,                 3.0001,                 2.1548,                0.92491,                0.45708,                0.40845,                 0.3186,                0.07359,                 2.3133,                 1.5439,                0.68942,              0.0018614,              0.0018614,              0.0018614
                      9,                 2.9861,                 1.9369,                0.93103,                0.33436,                0.26887,                0.20834,                0.04955,                 2.4348,                 1.9389,                0.66053,              0.0018416,              0.0018416,              0.0018416
                     10,                 2.8982,                 1.8796,                0.90577,                0.37477,                 0.1858,                0.12039,                 0.0273,                 2.7559,                 1.6494,                 0.6906,              0.0018218,              0.0018218,              0.0018218
                     11,                 2.9461,                 1.7487,                 0.9245,                 0.5469,                 0.4507,                0.38907,                0.10188,                 2.3031,                 1.1788,                0.64596,               0.001802,               0.001802,               0.001802
                     12,                 2.8394,                 1.6455,                0.90038,                0.49111,                0.33803,                0.31581,                0.07837,                 2.4451,                0.97759,                   0.64,              0.0017822,              0.0017822,              0.0017822
                     13,                 2.7554,                 1.4301,                0.89301,                0.56229,                0.33803,                0.37588,                0.13207,                 2.1063,                 1.4758,                0.65267,              0.0017624,              0.0017624,              0.0017624
                     14,                 2.7641,                 1.4985,                0.89699,                 0.5469,                0.43662,                0.45265,                0.16664,                 2.0989,                0.96766,                0.68797,              0.0017426,              0.0017426,              0.0017426
                     15,                 2.7484,                 1.4486,                0.87859,                0.59848,                0.54586,                0.50617,                0.14816,                 2.2476,                 1.0162,                0.67105,              0.0017228,              0.0017228,              0.0017228
