                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      0,                 3.6659,                 88.592,                 1.1568,                  0.006,                0.19718,                 0.0019,                0.00065,                 2.3462,                 405.82,                0.66828,                0.00042,                0.00042,                0.00042
                      1,                 3.2248,                 3.6722,                0.93047,                  0.006,                0.19718,                 0.0019,                0.00065,                 1.7172,                 1881.6,                0.48769,             0.00085149,             0.00085149,             0.00085149
                      2,                  3.324,                 1.9031,                0.97979,                0.00551,                0.02817,                0.00089,                0.00022,                  1.636,                 15.977,                0.45487,              0.0012743,              0.0012743,              0.0012743
                      3,                 3.1221,                 1.5687,                0.94965,                 0.6558,                0.29521,                0.28663,                0.06944,                 2.0856,                 5.5762,                0.75412,              0.0016883,              0.0016883,              0.0016883
                      4,                  2.937,                 1.7482,                0.90963,                 0.6558,                0.29521,                0.28663,                0.06944,                      0,                 0.0361,                      0,              0.0019208,              0.0019208,              0.0019208
                      5,                 2.9537,                 1.4737,                0.93451,                0.02882,                0.23944,                0.01192,                0.00291,                  2.614,                 130.21,                0.67278,              0.0019208,              0.0019208,              0.0019208
                      6,                 3.0435,                 1.6369,                0.93717,                0.35183,                0.19718,                 0.1088,                0.02378,                 2.5452,                  2.237,                0.62693,               0.001901,               0.001901,               0.001901
                      7,                 3.0131,                 1.5723,                0.92196,                0.16722,                0.12676,                0.03445,                0.00548,                 2.8504,                 19.419,                0.68384,              0.0018812,              0.0018812,              0.0018812
                      8,                 2.8729,                 1.4387,                0.91313,                0.00941,                0.14085,                0.00339,                 0.0007,                 2.6385,                 58.717,                0.61972,              0.0018614,              0.0018614,              0.0018614
                      9,                 2.9822,                 1.4759,                0.91794,                0.39613,                0.29577,                0.27233,                0.09143,                 2.2941,                 1.4737,                0.69198,              0.0018416,              0.0018416,              0.0018416
                     10,                  2.772,                 1.3504,                0.90059,                0.43639,                0.49296,                0.43623,                0.12237,                 2.2451,                 1.2155,                0.58933,              0.0018218,              0.0018218,              0.0018218
